Ligand	Receptor	Source
MMP2	SDC2	Ramilowski et al. 2015
MMP7	ERBB4	Ramilowski et al. 2015
MUC2	AGR2	Ramilowski et al. 2015
MYOC	FZD1	Ramilowski et al. 2015
MYOC	FZD10	Ramilowski et al. 2015
MYOC	FZD3	Ramilowski et al. 2015
MYOC	FZD4	Ramilowski et al. 2015
MYOC	FZD7	Ramilowski et al. 2015
NLGN1	NRXN2	Ramilowski et al. 2015
NMB	BRS3	Ramilowski et al. 2015
NPY	FAP	Ramilowski et al. 2015
NTN1	UNC5A	Ramilowski et al. 2015
NTN1	UNC5B	Ramilowski et al. 2015
NTN1	UNC5D	Ramilowski et al. 2015
NTNG2	LRRC4	Ramilowski et al. 2015
OMG	RTN4R	Ramilowski et al. 2015
PCSK9	VLDLR	Ramilowski et al. 2015
PIGF	FLT1	Ramilowski et al. 2015
PLG	PLGRKT	Ramilowski et al. 2015
PSPN	GFRA1	Ramilowski et al. 2015
PYY	FAP	Ramilowski et al. 2015
RARRES2	CCRL2	Ramilowski et al. 2015
RBP4	STRA6	Ramilowski et al. 2015
RGMB	NEO1	Ramilowski et al. 2015
RNASE2	TLR2	Ramilowski et al. 2015
RSPO1	ZNRF3	Ramilowski et al. 2015
RSPO3	FZD8	Ramilowski et al. 2015
RSPO3	LRP6	Ramilowski et al. 2015
RSPO3	SDC4	Ramilowski et al. 2015
S100A8	TLR4	Ramilowski et al. 2015
S100A9	TLR4	Ramilowski et al. 2015
SCT	VIPR2	Ramilowski et al. 2015
SEMA3A	NRP2	Ramilowski et al. 2015
SEMA3C	PLXND1	Ramilowski et al. 2015
SEMA3D	NRP1	Ramilowski et al. 2015
SEMA3G	NRP2	Ramilowski et al. 2015
SEMA4B	DCBLD2	Ramilowski et al. 2015
SEMA4C	PLXNB2	Ramilowski et al. 2015
SEMA4D	ERBB2	Ramilowski et al. 2015
SEMA4G	PLXNB2	Ramilowski et al. 2015
SEMA6A	PLXNA2	Ramilowski et al. 2015
SEMA6A	PLXNA4	Ramilowski et al. 2015
SEMA6D	TREM2	Ramilowski et al. 2015
SEMA6D	TYROBP	Ramilowski et al. 2015
SEMA7A	ITGA1	Ramilowski et al. 2015
SEMA7A	ITGB1	Ramilowski et al. 2015
SFRP1	FZD2	Ramilowski et al. 2015
SHH	GPC5	Ramilowski et al. 2015
SHH	LRP2	Ramilowski et al. 2015
SPINK1	EGFR	Ramilowski et al. 2015
SPP1	ITGA4	Ramilowski et al. 2015
SPP1	S1PR1	Ramilowski et al. 2015
TCTN1	TMEM67	Ramilowski et al. 2015
TGM2	SDC4	Ramilowski et al. 2015
THBS1	ITGA2B	Ramilowski et al. 2015
THBS1	ITGA3	Ramilowski et al. 2015
THBS1	ITGA4	Ramilowski et al. 2015
THBS1	ITGA6	Ramilowski et al. 2015
THBS1	ITGB1	Ramilowski et al. 2015
THBS2	ITGA4	Ramilowski et al. 2015
THBS2	ITGA6	Ramilowski et al. 2015
THBS2	ITGB1	Ramilowski et al. 2015
THBS2	NOTCH3	Ramilowski et al. 2015
TIMP3	AGTR2	Ramilowski et al. 2015
TNC	ITGA7	Ramilowski et al. 2015
TNC	ITGB1	Ramilowski et al. 2015
VASP	CXCR2	Ramilowski et al. 2015
VCAN	EGFR	Ramilowski et al. 2015
VCAN	TLR2	Ramilowski et al. 2015
VIM	CD44	Ramilowski et al. 2015
VTN	ITGAV	Ramilowski et al. 2015
WNT2	FZD5	Ramilowski et al. 2015
WNT2	FZD7	Ramilowski et al. 2015
WNT2	FZD8	Ramilowski et al. 2015
WNT3A	APCDD1	Ramilowski et al. 2015
WNT3A	FZD2	Ramilowski et al. 2015
WNT3A	FZD5	Ramilowski et al. 2015
WNT3A	FZD7	Ramilowski et al. 2015
WNT3A	FZD8	Ramilowski et al. 2015
WNT3	FZD7	Ramilowski et al. 2015
WNT5A	FZD8	Ramilowski et al. 2015
WNT5A	LRP5	Ramilowski et al. 2015
WNT5A	MCAM	Ramilowski et al. 2015
WNT5A	ROR1	Ramilowski et al. 2015
WNT7A	FZD10	Ramilowski et al. 2015
ZG16B	CXCR4	Ramilowski et al. 2015
ZG16B	TLR2	Ramilowski et al. 2015
ZG16B	TLR4	Ramilowski et al. 2015
ZG16B	TLR5	Ramilowski et al. 2015
ZG16B	TLR6	Ramilowski et al. 2015
A2M	LRP1	Ramilowski et al. 2015
AANAT	MTNR1A	Ramilowski et al. 2015
AANAT	MTNR1B	Ramilowski et al. 2015
ADAM12	ITGA9	Ramilowski et al. 2015
ADAM12	ITGB1	Ramilowski et al. 2015
ADAM12	SDC4	Ramilowski et al. 2015
ADAM15	ITGA5	Ramilowski et al. 2015
ADAM15	ITGA9	Ramilowski et al. 2015
ADAM15	ITGB1	Ramilowski et al. 2015
ADAM15	ITGB3	Ramilowski et al. 2015
ADAM17	ITGA5	Ramilowski et al. 2015
ADAM17	ITGB1	Ramilowski et al. 2015
ADAM23	ITGA5	Ramilowski et al. 2015
ADAM23	ITGB3	Ramilowski et al. 2015
ADAM2	ITGA6	Ramilowski et al. 2015
ADAM2	ITGB1	Ramilowski et al. 2015
ADAM9	ITGA6	Ramilowski et al. 2015
ADAM9	ITGAV	Ramilowski et al. 2015
ADAM9	ITGB1	Ramilowski et al. 2015
ADAM9	ITGB5	Ramilowski et al. 2015
ADCYAP1	ADCYAP1R1	Ramilowski et al. 2015
ADCYAP1	VIPR1	Ramilowski et al. 2015
ADCYAP1	VIPR2	Ramilowski et al. 2015
ADIPOQ	ADIPOR1	Ramilowski et al. 2015
ADIPOQ	ADIPOR2	Ramilowski et al. 2015
ADM2	CALCR	Ramilowski et al. 2015
ADM2	CALCRL	Ramilowski et al. 2015
ADM2	RAMP1	Ramilowski et al. 2015
ADM	CALCR	Ramilowski et al. 2015
ADM	CALCRL	Ramilowski et al. 2015
ADM	GPR182	Ramilowski et al. 2015
ADM	MRGPRX2	Ramilowski et al. 2015
ADM	RAMP2	Ramilowski et al. 2015
AGRN	MUSK	Ramilowski et al. 2015
AGRP	MC3R	Ramilowski et al. 2015
AGRP	MC4R	Ramilowski et al. 2015
AGRP	MC5R	Ramilowski et al. 2015
AGT	AGTR1	Ramilowski et al. 2015
AGT	AGTR2	Ramilowski et al. 2015
AGT	LRP2	Ramilowski et al. 2015
AGT	MAS1	Ramilowski et al. 2015
AMH	AMHR2	Ramilowski et al. 2015
ANGPT1	TEK	Ramilowski et al. 2015
ANGPT1	TIE1	Ramilowski et al. 2015
ANGPT2	TEK	Ramilowski et al. 2015
ANGPT4	TEK	Ramilowski et al. 2015
ANGPTL1	TEK	Ramilowski et al. 2015
ANXA1	FPR1	Ramilowski et al. 2015
ANXA1	FPR2	Ramilowski et al. 2015
ANXA1	FPR3	Ramilowski et al. 2015
APLN	APLNR	Ramilowski et al. 2015
APOB	LDLR	Ramilowski et al. 2015
APOE	LDLR	Ramilowski et al. 2015
APOE	LRP5	Ramilowski et al. 2015
APOE	LRP8	Ramilowski et al. 2015
APOE	SORL1	Ramilowski et al. 2015
APOE	VLDLR	Ramilowski et al. 2015
APP	FPR2	Ramilowski et al. 2015
AREG	EGFR	Ramilowski et al. 2015
ARF1	PLD2	Ramilowski et al. 2015
ARTN	GFRA3	Ramilowski et al. 2015
ARTN	RET	Ramilowski et al. 2015
ASIP	ATRN	Ramilowski et al. 2015
ASIP	MC1R	Ramilowski et al. 2015
