Ligand	Receptor	Source
EREG	ERBB4	Ramilowski et al. 2015
F2	F2R	Ramilowski et al. 2015
F2	F2RL1	Ramilowski et al. 2015
F2	F2RL2	Ramilowski et al. 2015
F2	F2RL3	Ramilowski et al. 2015
F7	F3	Ramilowski et al. 2015
F8	LRP1	Ramilowski et al. 2015
F9	LRP1	Ramilowski et al. 2015
FASLG	TNFRSF6B	Ramilowski et al. 2015
FGA	ITGAX	Ramilowski et al. 2015
FGA	ITGB2	Ramilowski et al. 2015
FGF10	FGFR2	Ramilowski et al. 2015
FGF16	FGFR2	Ramilowski et al. 2015
FGF16	FGFR3	Ramilowski et al. 2015
FGF16	FGFR4	Ramilowski et al. 2015
FGF17	FGFR1	Ramilowski et al. 2015
FGF17	FGFR2	Ramilowski et al. 2015
FGF17	FGFR3	Ramilowski et al. 2015
FGF17	FGFR4	Ramilowski et al. 2015
FGF18	FGFR1	Ramilowski et al. 2015
FGF18	FGFR2	Ramilowski et al. 2015
FGF18	FGFR3	Ramilowski et al. 2015
FGF18	FGFR4	Ramilowski et al. 2015
FGF19	FGFR1	Ramilowski et al. 2015
FGF19	FGFR2	Ramilowski et al. 2015
FGF19	FGFR3	Ramilowski et al. 2015
FGF19	FGFR4	Ramilowski et al. 2015
FGF1	FGFR1	Ramilowski et al. 2015
FGF1	FGFR2	Ramilowski et al. 2015
FGF1	FGFR3	Ramilowski et al. 2015
FGF1	FGFR4	Ramilowski et al. 2015
FGF22	FGFR2	Ramilowski et al. 2015
FGF23	FGFR1	Ramilowski et al. 2015
FGF23	FGFR2	Ramilowski et al. 2015
FGF23	FGFR4	Ramilowski et al. 2015
FGF2	FGFR1	Ramilowski et al. 2015
FGF2	FGFR2	Ramilowski et al. 2015
FGF2	FGFR3	Ramilowski et al. 2015
FGF2	FGFR4	Ramilowski et al. 2015
FGF2	SDC2	Ramilowski et al. 2015
FGF2	SDC4	Ramilowski et al. 2015
FGF3	FGFR1	Ramilowski et al. 2015
FGF3	FGFR2	Ramilowski et al. 2015
FGF4	FGFR1	Ramilowski et al. 2015
FGF4	FGFR2	Ramilowski et al. 2015
FGF4	FGFR3	Ramilowski et al. 2015
FGF4	FGFR4	Ramilowski et al. 2015
FGF5	FGFR1	Ramilowski et al. 2015
FGF5	FGFR2	Ramilowski et al. 2015
FGF5	FGFR3	Ramilowski et al. 2015
FGF5	FGFR4	Ramilowski et al. 2015
FGF6	FGFR1	Ramilowski et al. 2015
FGF6	FGFR2	Ramilowski et al. 2015
FGF6	FGFR4	Ramilowski et al. 2015
FGF7	FGFR2	Ramilowski et al. 2015
FGF8	FGFR1	Ramilowski et al. 2015
FGF8	FGFR2	Ramilowski et al. 2015
FGF8	FGFR3	Ramilowski et al. 2015
FGF8	FGFR4	Ramilowski et al. 2015
FGF9	FGFR1	Ramilowski et al. 2015
FGF9	FGFR2	Ramilowski et al. 2015
FGF9	FGFR3	Ramilowski et al. 2015
FGF9	FGFR4	Ramilowski et al. 2015
FLT3LG	FLT3	Ramilowski et al. 2015
FN1	ITGA2	Ramilowski et al. 2015
FN1	ITGA2B	Ramilowski et al. 2015
FN1	ITGA4	Ramilowski et al. 2015
FN1	ITGA5	Ramilowski et al. 2015
FN1	ITGA8	Ramilowski et al. 2015
FN1	ITGB1	Ramilowski et al. 2015
FN1	ITGB3	Ramilowski et al. 2015
FN1	ITGB6	Ramilowski et al. 2015
FN1	ITGB8	Ramilowski et al. 2015
FN1	SDC2	Ramilowski et al. 2015
FSHB	FSHR	Ramilowski et al. 2015
GALP	GALR1	Ramilowski et al. 2015
GALP	GALR2	Ramilowski et al. 2015
GALP	GALR3	Ramilowski et al. 2015
GAL	GALR1	Ramilowski et al. 2015
GAL	GALR2	Ramilowski et al. 2015
GAL	GALR3	Ramilowski et al. 2015
GAS6	AXL	Ramilowski et al. 2015
GAS6	MERTK	Ramilowski et al. 2015
GAS6	TYRO3	Ramilowski et al. 2015
GAST	CCKBR	Ramilowski et al. 2015
GCG	GCGR	Ramilowski et al. 2015
GCG	GLP1R	Ramilowski et al. 2015
GCG	GLP2R	Ramilowski et al. 2015
GDF11	ACVR1B	Ramilowski et al. 2015
GDF11	ACVR2A	Ramilowski et al. 2015
GDF11	ACVR2B	Ramilowski et al. 2015
GDF2	ACVRL1	Ramilowski et al. 2015
GDF5	BMPR1B	Ramilowski et al. 2015
GDF5	BMPR2	Ramilowski et al. 2015
GDF5	ROR2	Ramilowski et al. 2015
GDF6	BMPR1A	Ramilowski et al. 2015
GDF6	BMPR2	Ramilowski et al. 2015
GDF7	ACVR2A	Ramilowski et al. 2015
GDF7	BMPR1A	Ramilowski et al. 2015
GDF7	BMPR2	Ramilowski et al. 2015
GDF9	BMPR2	Ramilowski et al. 2015
GDF9	TGFBR1	Ramilowski et al. 2015
GDNF	GFRA1	Ramilowski et al. 2015
GDNF	GFRA2	Ramilowski et al. 2015
GDNF	RET	Ramilowski et al. 2015
GH1	GHR	Ramilowski et al. 2015
GH2	GHR	Ramilowski et al. 2015
GHRH	GHRHR	Ramilowski et al. 2015
GHRH	VIPR1	Ramilowski et al. 2015
GHRL	GHSR	Ramilowski et al. 2015
GHRL	GPR39	Ramilowski et al. 2015
GIP	GIPR	Ramilowski et al. 2015
GNRH1	GNRHR	Ramilowski et al. 2015
GNRH2	GNRHR	Ramilowski et al. 2015
GPHA2	TSHR	Ramilowski et al. 2015
GPI	AMFR	Ramilowski et al. 2015
GRP	GRPR	Ramilowski et al. 2015
GSTP1	TRAF2	Ramilowski et al. 2015
GUCA2A	GUCY2C	Ramilowski et al. 2015
GUCA2B	GUCY2C	Ramilowski et al. 2015
GZMB	IGF2R	Ramilowski et al. 2015
HAS2	CD44	Ramilowski et al. 2015
HAS2	HMMR	Ramilowski et al. 2015
HBEGF	EGFR	Ramilowski et al. 2015
HBEGF	ERBB4	Ramilowski et al. 2015
HCRT	HCRTR1	Ramilowski et al. 2015
HCRT	HCRTR2	Ramilowski et al. 2015
HEBP1	FPR3	Ramilowski et al. 2015
HGF	MET	Ramilowski et al. 2015
HLA-A	KIR3DL2	Ramilowski et al. 2015
HLA-B	KIR3DL1	Ramilowski et al. 2015
HLA-C	KIR2DL1	Ramilowski et al. 2015
HLA-C	KIR2DL3	Ramilowski et al. 2015
HLA-C	KIR2DS4	Ramilowski et al. 2015
HLA-E	KLRC1	Ramilowski et al. 2015
HLA-E	KLRC2	Ramilowski et al. 2015
HLA-E	KLRD1	Ramilowski et al. 2015
HLA-G	KIR2DL4	Ramilowski et al. 2015
HLA-G	KLRC1	Ramilowski et al. 2015
HLA-G	KLRD1	Ramilowski et al. 2015
HLA-G	LILRB1	Ramilowski et al. 2015
IAPP	CALCR	Ramilowski et al. 2015
ICAM1	ITGAL	Ramilowski et al. 2015
ICAM1	ITGAX	Ramilowski et al. 2015
ICAM1	ITGB2	Ramilowski et al. 2015
ICAM2	ITGAL	Ramilowski et al. 2015
ICAM2	ITGB2	Ramilowski et al. 2015
ICAM3	ITGAL	Ramilowski et al. 2015
ICAM3	ITGB2	Ramilowski et al. 2015
ICAM4	ITGA2B	Ramilowski et al. 2015
ICAM4	ITGAL	Ramilowski et al. 2015
ICAM4	ITGAM	Ramilowski et al. 2015
ICAM4	ITGAV	Ramilowski et al. 2015
ICAM4	ITGB2	Ramilowski et al. 2015
ICAM4	ITGB3	Ramilowski et al. 2015
ICAM5	ITGAL	Ramilowski et al. 2015
ICAM5	ITGB2	Ramilowski et al. 2015
IFNA10	IFNAR1	Ramilowski et al. 2015
IFNA10	IFNAR2	Ramilowski et al. 2015
IFNA13	IFNAR1	Ramilowski et al. 2015
IFNA13	IFNAR2	Ramilowski et al. 2015
IFNA14	IFNAR1	Ramilowski et al. 2015
IFNA14	IFNAR2	Ramilowski et al. 2015
IFNA16	IFNAR1	Ramilowski et al. 2015
IFNA16	IFNAR2	Ramilowski et al. 2015
IFNA17	IFNAR1	Ramilowski et al. 2015
IFNA17	IFNAR2	Ramilowski et al. 2015
IFNA1	IFNAR1	Ramilowski et al. 2015
IFNA1	IFNAR2	Ramilowski et al. 2015
IFNA21	IFNAR1	Ramilowski et al. 2015
IFNA21	IFNAR2	Ramilowski et al. 2015
IFNA2	IFNAR1	Ramilowski et al. 2015
IFNA2	IFNAR2	Ramilowski et al. 2015
IFNA4	IFNAR1	Ramilowski et al. 2015
IFNA4	IFNAR2	Ramilowski et al. 2015
IFNA5	IFNAR1	Ramilowski et al. 2015
IFNA5	IFNAR2	Ramilowski et al. 2015
IFNA6	IFNAR1	Ramilowski et al. 2015
IFNA6	IFNAR2	Ramilowski et al. 2015
IFNA7	IFNAR1	Ramilowski et al. 2015
IFNA7	IFNAR2	Ramilowski et al. 2015
IFNA8	IFNAR1	Ramilowski et al. 2015
IFNA8	IFNAR2	Ramilowski et al. 2015
IFNB1	IFNAR1	Ramilowski et al. 2015
IFNB1	IFNAR2	Ramilowski et al. 2015
IFNL1	IFNLR1	Ramilowski et al. 2015
IFNL1	IL10RB	Ramilowski et al. 2015
IFNL2	IFNLR1	Ramilowski et al. 2015
IFNL2	IL10RB	Ramilowski et al. 2015
IFNL3	IFNLR1	Ramilowski et al. 2015
IFNL3	IL10RB	Ramilowski et al. 2015
IFNW1	IFNAR1	Ramilowski et al. 2015
IFNW1	IFNAR2	Ramilowski et al. 2015
IGF1	IGF1R	Ramilowski et al. 2015
IGF2	IGF1R	Ramilowski et al. 2015
IGF2	IGF2R	Ramilowski et al. 2015
IGF2	INSR	Ramilowski et al. 2015
IHH	HHIP	Ramilowski et al. 2015
IHH	PTCH1	Ramilowski et al. 2015
IL10	IL10RA	Ramilowski et al. 2015
IL10	IL10RB	Ramilowski et al. 2015
IL11	IL11RA	Ramilowski et al. 2015
IL11	IL6ST	Ramilowski et al. 2015
IL12A	IL12RB1	Ramilowski et al. 2015
IL12A	IL12RB2	Ramilowski et al. 2015
IL12B	IL12RB1	Ramilowski et al. 2015
IL12B	IL12RB2	Ramilowski et al. 2015
IL13	IL13RA1	Ramilowski et al. 2015
IL13	IL13RA2	Ramilowski et al. 2015
IL13	IL2RG	Ramilowski et al. 2015
IL13	IL4R	Ramilowski et al. 2015
IL15	IL15RA	Ramilowski et al. 2015
IL15	IL2RB	Ramilowski et al. 2015
IL15	IL2RG	Ramilowski et al. 2015
IL16	CD4	Ramilowski et al. 2015
IL17A	IL17RA	Ramilowski et al. 2015
IL17B	IL17RB	Ramilowski et al. 2015
IL18	IL18R1	Ramilowski et al. 2015
IL18	IL18RAP	Ramilowski et al. 2015
IL18	IL1RAPL1	Ramilowski et al. 2015
IL19	IL20RA	Ramilowski et al. 2015
IL19	IL20RB	Ramilowski et al. 2015
IL1A	IL1R1	Ramilowski et al. 2015
IL1A	IL1R2	Ramilowski et al. 2015
IL1B	IL1R1	Ramilowski et al. 2015
IL1B	IL1R2	Ramilowski et al. 2015
IL1B	IL1RAP	Ramilowski et al. 2015
IL1RN	IL1R1	Ramilowski et al. 2015
IL1RN	IL1R2	Ramilowski et al. 2015
IL20	IL20RA	Ramilowski et al. 2015
IL20	IL20RB	Ramilowski et al. 2015
IL20	IL22RA1	Ramilowski et al. 2015
IL21	IL21R	Ramilowski et al. 2015
IL21	IL2RG	Ramilowski et al. 2015
IL22	IL10RA	Ramilowski et al. 2015
IL22	IL22RA1	Ramilowski et al. 2015
IL22	IL22RA2	Ramilowski et al. 2015
IL23A	IL12RB1	Ramilowski et al. 2015
IL23A	IL23R	Ramilowski et al. 2015
IL24	IL20RA	Ramilowski et al. 2015
IL24	IL20RB	Ramilowski et al. 2015
IL24	IL22RA1	Ramilowski et al. 2015
IL25	IL17RB	Ramilowski et al. 2015
IL2	IL2RA	Ramilowski et al. 2015
IL2	IL2RB	Ramilowski et al. 2015
IL2	IL2RG	Ramilowski et al. 2015
IL31	IL31RA	Ramilowski et al. 2015
IL31	OSMR	Ramilowski et al. 2015
IL3	CSF2RB	Ramilowski et al. 2015
IL3	IL3RA	Ramilowski et al. 2015
IL4	IL13RA1	Ramilowski et al. 2015
IL4	IL2RG	Ramilowski et al. 2015
IL4	IL4R	Ramilowski et al. 2015
IL5	CSF2RB	Ramilowski et al. 2015
IL5	IL5RA	Ramilowski et al. 2015
IL6	IL6R	Ramilowski et al. 2015
IL6	IL6ST	Ramilowski et al. 2015
IL7	IL2RG	Ramilowski et al. 2015
IL7	IL7R	Ramilowski et al. 2015
IL9	IL2RG	Ramilowski et al. 2015
IL9	IL9R	Ramilowski et al. 2015
INHA	ACVR2A	Ramilowski et al. 2015
INHA	TGFBR3	Ramilowski et al. 2015
INHBA	ACVR1	Ramilowski et al. 2015
INHBA	ACVR1B	Ramilowski et al. 2015
INHBA	ACVR2A	Ramilowski et al. 2015
INHBA	ACVR2B	Ramilowski et al. 2015
INHBA	BAMBI	Ramilowski et al. 2015
INHBB	ACVR1	Ramilowski et al. 2015
INHBB	ACVR1B	Ramilowski et al. 2015
INHBB	ACVR2A	Ramilowski et al. 2015
INHBB	ACVR2B	Ramilowski et al. 2015
INHBC	ACVR1	Ramilowski et al. 2015
INHBC	ACVR1B	Ramilowski et al. 2015
INHBC	ACVR2A	Ramilowski et al. 2015
INHBC	ACVR2B	Ramilowski et al. 2015
INSL3	RXFP2	Ramilowski et al. 2015
INSL5	RXFP3	Ramilowski et al. 2015
INSL5	RXFP4	Ramilowski et al. 2015
INS	INSR	Ramilowski et al. 2015
JAG1	NOTCH1	Ramilowski et al. 2015
JAG1	NOTCH2	Ramilowski et al. 2015
JAG1	NOTCH3	Ramilowski et al. 2015
JAG1	NOTCH4	Ramilowski et al. 2015
JAG2	NOTCH1	Ramilowski et al. 2015
JAG2	NOTCH2	Ramilowski et al. 2015
JAG2	NOTCH3	Ramilowski et al. 2015
KISS1	KISS1R	Ramilowski et al. 2015
KITLG	KIT	Ramilowski et al. 2015
KNG1	BDKRB1	Ramilowski et al. 2015
KNG1	BDKRB2	Ramilowski et al. 2015
KNG1	GPR135	Ramilowski et al. 2015
LAMA1	ITGA7	Ramilowski et al. 2015
LAMA1	ITGB1	Ramilowski et al. 2015
LAMA1	ITGB8	Ramilowski et al. 2015
LAMA1	RPSA	Ramilowski et al. 2015
LAMA2	ITGA7	Ramilowski et al. 2015
LAMA2	ITGB1	Ramilowski et al. 2015
LAMA2	RPSA	Ramilowski et al. 2015
LAMB1	ITGA6	Ramilowski et al. 2015
LAMB1	ITGB1	Ramilowski et al. 2015
LAMB2	RPSA	Ramilowski et al. 2015
LAMC2	ITGA3	Ramilowski et al. 2015
LAMC2	ITGA6	Ramilowski et al. 2015
LAMC2	ITGB1	Ramilowski et al. 2015
LAMC2	ITGB4	Ramilowski et al. 2015
LEFTY2	ACVR2B	Ramilowski et al. 2015
LEP	LEPR	Ramilowski et al. 2015
LHB	LHCGR	Ramilowski et al. 2015
LIF	IL6ST	Ramilowski et al. 2015
LIF	LIFR	Ramilowski et al. 2015
LIPH	LPAR1	Ramilowski et al. 2015
LIPH	LPAR2	Ramilowski et al. 2015
LIPH	LPAR4	Ramilowski et al. 2015
LRPAP1	LRP1	Ramilowski et al. 2015
LTA	LTBR	Ramilowski et al. 2015
LTA	TNFRSF14	Ramilowski et al. 2015
LTA	TNFRSF1A	Ramilowski et al. 2015
LTA	TNFRSF1B	Ramilowski et al. 2015
LTB	CD40	Ramilowski et al. 2015
LTB	LTBR	Ramilowski et al. 2015
LTF	LRP1	Ramilowski et al. 2015
LTF	LRP11	Ramilowski et al. 2015
MADCAM1	ITGA4	Ramilowski et al. 2015
MADCAM1	ITGB7	Ramilowski et al. 2015
MDK	ALK	Ramilowski et al. 2015
MDK	PTPRZ1	Ramilowski et al. 2015
MLN	MLNR	Ramilowski et al. 2015
MMP13	LRP1	Ramilowski et al. 2015
MMP9	LRP1	Ramilowski et al. 2015
MST1	MST1R	Ramilowski et al. 2015
NAMPT	INSR	Ramilowski et al. 2015
NCAM1	ROBO1	Ramilowski et al. 2015
NCAM1	ROBO3	Ramilowski et al. 2015
NDP	FZD4	Ramilowski et al. 2015
NDP	LGR4	Ramilowski et al. 2015
NGF	NGFR	Ramilowski et al. 2015
NGF	NTRK1	Ramilowski et al. 2015
NGF	SORT1	Ramilowski et al. 2015
NID1	PTPRF	Ramilowski et al. 2015
NLGN1	NRXN1	Ramilowski et al. 2015
NLGN1	NRXN3	Ramilowski et al. 2015
NLGN2	NRXN1	Ramilowski et al. 2015
NLGN2	NRXN2	Ramilowski et al. 2015
NLGN2	NRXN3	Ramilowski et al. 2015
NLGN3	NRXN1	Ramilowski et al. 2015
NLGN3	NRXN2	Ramilowski et al. 2015
NLGN3	NRXN3	Ramilowski et al. 2015
NMB	GRPR	Ramilowski et al. 2015
NMB	NMBR	Ramilowski et al. 2015
NMS	NMUR1	Ramilowski et al. 2015
NMS	NMUR2	Ramilowski et al. 2015
NMU	NMUR1	Ramilowski et al. 2015
NMU	NMUR2	Ramilowski et al. 2015
NODAL	ACVR1B	Ramilowski et al. 2015
NODAL	ACVR1C	Ramilowski et al. 2015
NODAL	ACVR2A	Ramilowski et al. 2015
NODAL	ACVR2B	Ramilowski et al. 2015
NOV	NOTCH1	Ramilowski et al. 2015
NPB	NPBWR1	Ramilowski et al. 2015
NPB	NPBWR2	Ramilowski et al. 2015
NPFF	NPFFR1	Ramilowski et al. 2015
NPFF	NPFFR2	Ramilowski et al. 2015
NPNT	ITGA8	Ramilowski et al. 2015
NPNT	ITGB1	Ramilowski et al. 2015
NPPA	NPR1	Ramilowski et al. 2015
NPPA	NPR3	Ramilowski et al. 2015
NPPB	NPR1	Ramilowski et al. 2015
NPPB	NPR2	Ramilowski et al. 2015
NPPB	NPR3	Ramilowski et al. 2015
NPPC	NPR2	Ramilowski et al. 2015
NPS	NPSR1	Ramilowski et al. 2015
NPVF	NPFFR1	Ramilowski et al. 2015
NPVF	NPFFR2	Ramilowski et al. 2015
NPW	NPBWR1	Ramilowski et al. 2015
NPW	NPBWR2	Ramilowski et al. 2015
NPY	NPY1R	Ramilowski et al. 2015
NPY	NPY2R	Ramilowski et al. 2015
NPY	NPY4R	Ramilowski et al. 2015
NPY	NPY5R	Ramilowski et al. 2015
NPY	PRLHR	Ramilowski et al. 2015
NRG1	ERBB2	Ramilowski et al. 2015
NRG1	ERBB3	Ramilowski et al. 2015
NRG1	ERBB4	Ramilowski et al. 2015
NRG2	ERBB3	Ramilowski et al. 2015
NRG2	ERBB4	Ramilowski et al. 2015
NRG3	ERBB4	Ramilowski et al. 2015
NRG4	ERBB4	Ramilowski et al. 2015
NRTN	GFRA1	Ramilowski et al. 2015
NRTN	GFRA2	Ramilowski et al. 2015
NRTN	RET	Ramilowski et al. 2015
NTF3	NGFR	Ramilowski et al. 2015
NTF3	NTRK1	Ramilowski et al. 2015
NTF3	NTRK2	Ramilowski et al. 2015
NTF3	NTRK3	Ramilowski et al. 2015
NTF4	NGFR	Ramilowski et al. 2015
NTF4	NTRK1	Ramilowski et al. 2015
NTF4	NTRK2	Ramilowski et al. 2015
NTN1	DCC	Ramilowski et al. 2015
NTN1	UNC5C	Ramilowski et al. 2015
NTN3	CDON	Ramilowski et al. 2015
NTN3	NEO1	Ramilowski et al. 2015
NTN4	DCC	Ramilowski et al. 2015
NTN4	UNC5A	Ramilowski et al. 2015
NTNG1	LRRC4C	Ramilowski et al. 2015
NTS	NTSR1	Ramilowski et al. 2015
NTS	NTSR2	Ramilowski et al. 2015
NXPH1	NRXN1	Ramilowski et al. 2015
NXPH1	NRXN2	Ramilowski et al. 2015
NXPH1	NRXN3	Ramilowski et al. 2015
NXPH3	NRXN1	Ramilowski et al. 2015
NXPH3	NRXN2	Ramilowski et al. 2015
NXPH3	NRXN3	Ramilowski et al. 2015
OMG	LINGO1	Ramilowski et al. 2015
OMG	TNFRSF1B	Ramilowski et al. 2015
OSM	IL6ST	Ramilowski et al. 2015
OSM	LIFR	Ramilowski et al. 2015
OSM	OSMR	Ramilowski et al. 2015
OSTN	NPR3	Ramilowski et al. 2015
OXT	AVPR1A	Ramilowski et al. 2015
OXT	AVPR1B	Ramilowski et al. 2015
OXT	AVPR2	Ramilowski et al. 2015
OXT	OXTR	Ramilowski et al. 2015
PDGFA	PDGFRA	Ramilowski et al. 2015
PDGFB	PDGFRA	Ramilowski et al. 2015
PDGFB	PDGFRB	Ramilowski et al. 2015
PDGFC	FLT4	Ramilowski et al. 2015
PDGFC	KDR	Ramilowski et al. 2015
PDGFC	PDGFRA	Ramilowski et al. 2015
PDGFD	PDGFRB	Ramilowski et al. 2015
PDYN	OPRD1	Ramilowski et al. 2015
PDYN	OPRK1	Ramilowski et al. 2015
PDYN	OPRM1	Ramilowski et al. 2015
PENK	MRGPRX1	Ramilowski et al. 2015
PENK	OGFR	Ramilowski et al. 2015
PENK	OPRD1	Ramilowski et al. 2015
PENK	OPRM1	Ramilowski et al. 2015
PF4	FGFR2	Ramilowski et al. 2015
PF4	LDLR	Ramilowski et al. 2015
PF4	PROCR	Ramilowski et al. 2015
PF4	THBD	Ramilowski et al. 2015
PGF	FLT1	Ramilowski et al. 2015
PGF	NRP1	Ramilowski et al. 2015
PLAT	LRP1	Ramilowski et al. 2015
PLAU	LRP1	Ramilowski et al. 2015
PLAU	PLAUR	Ramilowski et al. 2015
PLG	ITGA9	Ramilowski et al. 2015
PLG	ITGB1	Ramilowski et al. 2015
PMCH	MCHR1	Ramilowski et al. 2015
PMCH	MCHR2	Ramilowski et al. 2015
PNOC	OPRL1	Ramilowski et al. 2015
PODXL2	SELL	Ramilowski et al. 2015
POMC	MC1R	Ramilowski et al. 2015
POMC	MC2R	Ramilowski et al. 2015
POMC	MC3R	Ramilowski et al. 2015
POMC	MC4R	Ramilowski et al. 2015
POMC	MC5R	Ramilowski et al. 2015
POMC	OPRD1	Ramilowski et al. 2015
POMC	OPRK1	Ramilowski et al. 2015
POMC	OPRM1	Ramilowski et al. 2015
PPBP	CXCR1	Ramilowski et al. 2015
PPBP	CXCR2	Ramilowski et al. 2015
PPY	NPY4R	Ramilowski et al. 2015
PPY	NPY5R	Ramilowski et al. 2015
PRLH	PRLHR	Ramilowski et al. 2015
PRL	PRLR	Ramilowski et al. 2015
PRND	RPSA	Ramilowski et al. 2015
PROC	PROCR	Ramilowski et al. 2015
PROK1	PROKR1	Ramilowski et al. 2015
PROK1	PROKR2	Ramilowski et al. 2015
PROK2	PROKR1	Ramilowski et al. 2015
PROK2	PROKR2	Ramilowski et al. 2015
PROS1	AXL	Ramilowski et al. 2015
PROS1	TYRO3	Ramilowski et al. 2015
PSAP	GPR37	Ramilowski et al. 2015
PSAP	GPR37L1	Ramilowski et al. 2015
PSAP	LRP1	Ramilowski et al. 2015
PSEN1	NCSTN	Ramilowski et al. 2015
PSPN	GFRA4	Ramilowski et al. 2015
PSPN	RET	Ramilowski et al. 2015
PTDSS1	JMJD6	Ramilowski et al. 2015
PTDSS1	SCARB1	Ramilowski et al. 2015
PTGS2	PTGDR2	Ramilowski et al. 2015
PTH2	PTH1R	Ramilowski et al. 2015
PTH2	PTH2R	Ramilowski et al. 2015
PTHLH	PRLHR	Ramilowski et al. 2015
PTHLH	PTH1R	Ramilowski et al. 2015
PTHLH	PTH2R	Ramilowski et al. 2015
PTH	PTH1R	Ramilowski et al. 2015
PTH	PTH2R	Ramilowski et al. 2015
PTN	PTPRB	Ramilowski et al. 2015
PTN	PTPRZ1	Ramilowski et al. 2015
PYY	NPY1R	Ramilowski et al. 2015
PYY	NPY2R	Ramilowski et al. 2015
PYY	NPY4R	Ramilowski et al. 2015
PYY	NPY5R	Ramilowski et al. 2015
QRFP	P2RY14	Ramilowski et al. 2015
QRFP	QRFPR	Ramilowski et al. 2015
RARRES2	CMKLR1	Ramilowski et al. 2015
RARRES2	GPR1	Ramilowski et al. 2015
RELN	ITGA3	Ramilowski et al. 2015
RELN	ITGB1	Ramilowski et al. 2015
RELN	LRP8	Ramilowski et al. 2015
RELN	VLDLR	Ramilowski et al. 2015
REN	ATP6AP2	Ramilowski et al. 2015
RGMA	NEO1	Ramilowski et al. 2015
RLN1	RXFP1	Ramilowski et al. 2015
RLN1	RXFP2	Ramilowski et al. 2015
RLN2	RXFP1	Ramilowski et al. 2015
RLN2	RXFP2	Ramilowski et al. 2015
RLN3	RXFP1	Ramilowski et al. 2015
RLN3	RXFP2	Ramilowski et al. 2015
RLN3	RXFP3	Ramilowski et al. 2015
RLN3	RXFP4	Ramilowski et al. 2015
RPS19	C5AR1	Ramilowski et al. 2015
RSPO1	LGR4	Ramilowski et al. 2015
RSPO1	LGR5	Ramilowski et al. 2015
RSPO1	LGR6	Ramilowski et al. 2015
RSPO1	LRP6	Ramilowski et al. 2015
RSPO2	LGR4	Ramilowski et al. 2015
RSPO2	LGR5	Ramilowski et al. 2015
RSPO2	LGR6	Ramilowski et al. 2015
RSPO3	LGR4	Ramilowski et al. 2015
RSPO3	LGR5	Ramilowski et al. 2015
RSPO3	LGR6	Ramilowski et al. 2015
RSPO4	LGR4	Ramilowski et al. 2015
RSPO4	LGR5	Ramilowski et al. 2015
RSPO4	LGR6	Ramilowski et al. 2015
RTN4	LINGO1	Ramilowski et al. 2015
RTN4	RTN4R	Ramilowski et al. 2015
RTN4	TNFRSF19	Ramilowski et al. 2015
SAA1	FPR2	Ramilowski et al. 2015
SCT	SCTR	Ramilowski et al. 2015
SELPLG	SELE	Ramilowski et al. 2015
SELPLG	SELP	Ramilowski et al. 2015
SEMA3A	NRP1	Ramilowski et al. 2015
SEMA3A	PLXNA1	Ramilowski et al. 2015
SEMA3A	PLXNA2	Ramilowski et al. 2015
SEMA3A	PLXNA4	Ramilowski et al. 2015
SEMA3B	NRP1	Ramilowski et al. 2015
SEMA3C	NRP2	Ramilowski et al. 2015
SEMA3E	PLXND1	Ramilowski et al. 2015
SEMA3F	NRP2	Ramilowski et al. 2015
SEMA3F	PLXNA3	Ramilowski et al. 2015
SEMA4D	MET	Ramilowski et al. 2015
SEMA4D	PLXNB1	Ramilowski et al. 2015
SEMA4D	PLXNB2	Ramilowski et al. 2015
SEMA5A	MET	Ramilowski et al. 2015
SEMA5A	PLXNB3	Ramilowski et al. 2015
SEMA6D	KDR	Ramilowski et al. 2015
SEMA6D	PLXNA1	Ramilowski et al. 2015
SEMA7A	PLXNC1	Ramilowski et al. 2015
SERPINA1	LRP1	Ramilowski et al. 2015
SERPINC1	LRP1	Ramilowski et al. 2015
SERPINE1	LRP1	Ramilowski et al. 2015
SERPINE2	LRP1	Ramilowski et al. 2015
SERPING1	LRP1	Ramilowski et al. 2015
SHH	BOC	Ramilowski et al. 2015
SHH	CDON	Ramilowski et al. 2015
SHH	HHIP	Ramilowski et al. 2015
SHH	PTCH1	Ramilowski et al. 2015
SHH	SMO	Ramilowski et al. 2015
SLIT1	GPC1	Ramilowski et al. 2015
SLIT1	ROBO1	Ramilowski et al. 2015
SLIT1	SDC1	Ramilowski et al. 2015
SLIT2	GPC1	Ramilowski et al. 2015
SLIT2	ROBO1	Ramilowski et al. 2015
SLIT2	ROBO2	Ramilowski et al. 2015
SLIT2	ROBO4	Ramilowski et al. 2015
SLIT2	SDC1	Ramilowski et al. 2015
SOST	LRP5	Ramilowski et al. 2015
SOST	LRP6	Ramilowski et al. 2015
SPP1	CD44	Ramilowski et al. 2015
SPP1	ITGAV	Ramilowski et al. 2015
SST	SSTR1	Ramilowski et al. 2015
SST	SSTR2	Ramilowski et al. 2015
SST	SSTR3	Ramilowski et al. 2015
SST	SSTR4	Ramilowski et al. 2015
SST	SSTR5	Ramilowski et al. 2015
TAC1	TACR1	Ramilowski et al. 2015
TAC1	TACR2	Ramilowski et al. 2015
TAC1	TACR3	Ramilowski et al. 2015
TAC3	TACR1	Ramilowski et al. 2015
TAC3	TACR2	Ramilowski et al. 2015
